Channel,Visitors,Leads,Qualified,Customers
Organic,690,235,154,56
Email,2800,1069,596,153
Google Ads,1480,648,419,110
Organic,3475,806,394,136
Organic,1684,766,499,212
Email,3827,1621,1024,395
Google Ads,3894,1256,589,170
Google Ads,627,300,131,43
Organic,2565,1275,842,211
Facebook,2316,605,416,92
Organic,1069,335,137,59
Organic,2395,1144,708,197
Organic,3233,1346,905,229
Organic,4363,935,614,250
Email,4514,1961,1351,520
Google Ads,3401,1524,957,373
Email,2186,929,494,132
Email,3509,1543,761,205
Email,654,292,144,38
Organic,3037,777,479,120
Facebook,1909,516,321,127
Google Ads,4557,1777,817,371
Facebook,1284,606,400,166
Email,3675,1083,665,291
Email,4841,1822,1036,333
Facebook,3306,1338,724,286
Facebook,1037,348,195,59
Facebook,2341,969,433,154
Email,2955,1388,640,220
Email,1024,396,169,42
Google Ads,3450,1248,556,175
Google Ads,4631,1535,822,402
Email,4615,1722,962,264
Facebook,2868,879,356,85
Facebook,4347,1379,881,286
Google Ads,4995,1795,876,382
Email,3201,704,474,177
Google Ads,1471,395,272,109
Google Ads,1666,604,275,70
Organic,3274,1078,580,223
Organic,2482,744,297,88
Organic,1353,567,328,147
Facebook,4646,1896,1103,428
Email,4236,1059,502,130
Email,4269,1979,1123,246
Email,1074,374,174,37
Email,3761,1588,711,221
Organic,1648,612,364,101
Facebook,2215,1105,550,216
Facebook,4354,1853,1069,373
Organic,2991,1232,652,182
Facebook,3160,1370,952,233
Organic,3624,880,391,93
Email,3551,928,500,229
Organic,504,208,125,34
Email,1376,479,248,98
Email,1491,635,439,194
Google Ads,4642,1071,660,253
Organic,4864,1755,1047,479
Google Ads,4965,1557,976,310
Organic,1135,382,261,127
Organic,2193,835,561,134
Google Ads,2182,765,472,108
Google Ads,619,224,139,55
Organic,1330,460,204,98
Facebook,4175,1347,580,256
Email,1869,806,460,102
Google Ads,1240,252,102,28
Email,616,233,126,60
Facebook,3338,1233,571,157
Facebook,1650,684,344,149
Facebook,2431,923,584,261
Google Ads,1512,677,461,160
Facebook,2164,1055,444,140
Google Ads,1581,478,267,89
Facebook,1012,271,180,48
Email,3349,1095,465,217
Email,1059,303,196,65
Organic,4172,1604,813,377
Email,3843,1819,903,209
Organic,4570,1104,765,379
Email,1970,453,208,69
Google Ads,1080,298,181,38
Email,2794,1167,754,159
Organic,3647,1378,568,240
Organic,4749,1095,658,261
Facebook,2179,1036,710,312
Google Ads,4006,1750,765,177
Email,3244,671,448,94
Facebook,3856,1524,881,310
Email,4545,1960,1146,362
Email,1743,544,317,107
Facebook,3618,798,390,194
Facebook,2641,589,400,196
Facebook,3559,823,563,271
Facebook,3459,1563,918,399
Facebook,2765,1308,830,254
Email,2979,705,411,133
Facebook,2135,578,315,114
Google Ads,2257,563,336,150
Organic,4952,1267,716,157
Facebook,2570,1159,671,219
Facebook,3349,1003,637,143
Email,3751,1100,598,211
Facebook,4230,1134,467,219
Facebook,2989,1142,512,222
Facebook,2131,668,355,95
Email,3316,1403,866,426
Facebook,1515,396,228,91
Organic,1848,806,479,97
Email,3587,1367,743,205
Organic,3339,782,457,127
Email,835,270,134,29
Facebook,1395,640,346,168
Organic,4046,1929,1202,412
Email,1351,458,302,141
Google Ads,2187,752,398,118
Facebook,2431,1156,477,113
Email,4246,1597,716,245
Google Ads,2927,614,249,58
Email,2068,979,583,201
Google Ads,4500,1235,617,293
Facebook,3238,1208,679,241
Organic,3998,998,546,210
Google Ads,4413,927,393,97
Email,1566,459,239,50
Facebook,4880,2118,987,230
Google Ads,2944,833,437,165
Email,4607,1225,564,128
Email,3873,1021,665,208
Email,4469,1584,716,261
Google Ads,3046,1500,1032,326
Google Ads,1253,423,221,55
Google Ads,2582,948,619,174
Organic,3274,1500,882,422
Google Ads,3396,1224,759,305
Google Ads,4685,1196,753,262
Google Ads,1275,369,203,41
Organic,2125,622,350,174
Google Ads,3569,1139,631,253
Email,917,300,172,50
Google Ads,614,270,110,51
Email,1116,340,176,48
Email,4474,1523,886,321
Email,3767,1459,845,330
Organic,1325,415,264,70
Organic,2016,909,542,267
Organic,3646,1371,956,405
Google Ads,912,262,127,46
Email,1228,508,257,65
Organic,3848,1378,709,153
Organic,3308,1191,642,190
Google Ads,1175,404,262,111
Organic,3965,1384,651,182
Google Ads,3004,1290,816,295
Facebook,3467,800,417,174
Organic,3286,986,572,132
Facebook,1622,361,212,85
Google Ads,4579,1950,998,227
Email,2071,583,322,157
Organic,2643,1240,649,224
Google Ads,2187,782,329,80
Email,4632,2039,1083,327
Email,4351,2147,921,298
Facebook,3940,1780,928,396
Google Ads,4266,1962,1133,479
Email,2826,911,522,200
Organic,3414,1247,746,172
Organic,4452,1229,526,129
Facebook,1095,283,168,38
Email,1228,431,212,79
Google Ads,1865,705,366,169
Organic,4992,1506,990,326
Email,1198,444,178,44
Email,895,417,240,88
Facebook,4671,1714,993,440
Organic,4860,2022,1049,443
Organic,3002,1325,624,289
Google Ads,2319,1151,541,153
Organic,1217,463,307,79
Google Ads,3282,1450,772,358
Organic,4077,1992,994,394
Facebook,643,310,165,48
Organic,3640,882,529,223
Google Ads,4991,1606,712,316
Google Ads,3438,1021,546,209
Facebook,4136,935,538,218
Organic,3722,1451,993,310
Organic,1667,701,333,120
Facebook,3116,1416,719,256
Organic,1562,369,189,85
Organic,2656,1229,714,322
Google Ads,3482,1368,693,311
Organic,3794,1560,873,177
Organic,1656,783,496,210
Facebook,1232,477,291,124
Facebook,4830,1452,775,312
Email,1453,650,428,182
Google Ads,3039,938,532,240
Organic,3824,804,451,153
Organic,3801,1707,700,245
Email,2042,619,430,102
Organic,1691,730,318,100
Google Ads,3493,1078,505,198
Email,3181,1457,605,262
Google Ads,1717,456,269,71
Email,2040,1004,469,113
Email,3736,1621,735,293
Facebook,2886,676,288,57
Google Ads,4219,1559,671,170
Organic,1888,935,538,112
Organic,2356,804,487,121
Google Ads,1865,474,246,62
Organic,999,345,187,59
Organic,2180,771,467,149
Google Ads,1010,426,172,79
Email,4812,1971,979,345
Google Ads,1824,585,404,168
Email,1655,439,252,58
Organic,2327,915,435,116
Organic,3641,1188,661,271
Organic,3986,955,480,103
Facebook,2310,1086,607,210
Email,3423,1394,610,231
Facebook,2714,1099,483,183
Facebook,4686,2093,927,191
Google Ads,1213,435,296,87
Facebook,4102,1823,1130,441
Google Ads,4634,1619,726,177
Google Ads,4022,885,404,165
Facebook,4768,1533,949,402
Email,1743,608,271,134
Email,4209,1751,823,216
Email,1581,366,252,112
Email,955,231,110,39
Email,1394,389,232,72
Facebook,1884,527,365,86
Facebook,2458,1031,528,222
Organic,3572,983,398,107
Email,2496,973,460,143
Facebook,4785,1666,1081,236
Organic,1004,373,245,107
Email,1714,773,487,209
Google Ads,2031,652,282,118
Organic,3940,1699,1085,314
Facebook,1323,432,291,73
Google Ads,1428,437,253,98
Google Ads,633,308,210,73
Google Ads,2605,665,430,108
Organic,4127,937,562,228
Facebook,2352,1014,581,288
Google Ads,4675,1030,519,220
Email,3433,1548,693,292
Google Ads,3784,1253,728,353
Google Ads,4798,2277,1128,294
Organic,3311,1378,909,336
Organic,1750,670,467,230
Facebook,4012,1944,1216,303
Email,1756,560,239,98
Organic,3876,1884,916,344
Google Ads,3986,958,414,155
Facebook,4084,1409,838,342
Google Ads,1896,532,334,159
Google Ads,4137,1497,1014,440
Organic,3830,952,505,109
Facebook,3203,1449,971,442
Email,970,440,291,77
Email,1853,901,446,139
Organic,3283,808,533,180
Organic,3331,1289,660,227
Facebook,857,293,143,47
Email,3519,1067,634,305
Email,1167,356,177,72
Email,4968,1608,947,368
Google Ads,1645,676,394,84
Email,4685,1777,1011,476
Google Ads,4219,1425,732,346
Facebook,3245,722,407,176
Google Ads,1039,232,134,27
Facebook,3279,658,370,80
Email,4636,2273,1212,324
Email,4275,861,348,83
Facebook,3008,694,399,127
Organic,3279,965,434,206
Facebook,1424,629,372,127
Organic,3456,1688,1059,216
Google Ads,2081,909,500,142
Google Ads,3824,1557,876,186
Google Ads,4985,1776,1217,256
Email,755,170,111,31
Google Ads,2338,1139,767,216
Organic,2444,1044,672,293
Google Ads,509,199,86,42
Facebook,3371,1441,640,199
Facebook,1297,541,301,98
Email,1515,592,280,126
Facebook,2324,1148,623,174
Organic,4969,2340,1212,299
Google Ads,3636,1432,808,368
Email,2693,1098,685,146
Google Ads,723,155,95,36
Google Ads,4658,1867,1038,382
Organic,4425,943,609,184
Facebook,4500,1694,896,263
Facebook,2133,1066,713,307
Google Ads,2652,972,409,92
Email,1010,345,236,63
Facebook,884,259,154,64
Email,904,213,109,39
Facebook,2500,1048,481,114
Email,3256,839,456,211
Organic,2168,508,232,73
Email,1960,639,287,128
Organic,4136,1814,1061,462
Organic,3224,1365,760,294
Email,4678,1012,608,211
Organic,2548,857,581,286
Google Ads,4646,1657,927,225
Organic,1216,478,274,114
Facebook,2323,917,391,100
Email,2581,798,491,148
Google Ads,3919,1442,749,219
Email,2074,714,494,239
Facebook,749,348,225,110
Facebook,1173,421,234,59
Facebook,2665,885,386,79
Organic,1270,408,268,111
Organic,4462,1658,1061,345
Email,4863,2145,976,221
Email,2484,898,438,177
Google Ads,1577,628,400,145
Google Ads,735,309,140,69
Email,888,316,213,57
Organic,3537,1160,611,196
Facebook,2348,1087,463,167
Email,3314,1077,694,303
Google Ads,3874,1311,671,244
Organic,3778,1878,1047,401
Email,1752,350,151,40
Email,4481,1145,458,207
Organic,2622,826,488,160
Email,2650,1271,704,170
Organic,1829,404,233,93
Facebook,1858,376,239,63
Organic,2982,643,381,87
Organic,2517,570,257,117
Organic,1831,386,196,66
Email,4844,1666,1119,475
Email,4761,1781,1123,322
Organic,1858,523,296,129
Email,3677,1174,559,130
Google Ads,2628,597,292,89
Google Ads,2680,806,499,246
Email,637,227,148,64
Email,3972,1666,1001,349
Organic,3332,669,430,129
Facebook,4079,1387,873,403
Email,3531,1020,453,164
Google Ads,4664,2126,1120,478
Organic,3093,1282,571,243
Email,4800,1808,850,174
Google Ads,4318,1222,807,191
Google Ads,4638,2194,1188,472
Facebook,4323,923,517,128
Organic,4542,1057,479,132
Organic,2406,763,376,181
Facebook,1260,299,140,51
Facebook,3945,1920,886,376
Organic,1399,614,363,133
Organic,4955,1375,655,239
Email,3447,1298,765,174
Email,2219,1097,458,138
Facebook,780,362,160,45
Email,3766,1431,690,218
Google Ads,2387,1124,650,285
Email,3766,1870,1127,351
Email,1166,493,262,87
Google Ads,4688,1028,548,174
Facebook,1171,375,231,52
Google Ads,2469,1114,450,149
Email,4656,1253,629,162
Facebook,3622,1626,1049,268
Email,4400,1038,603,137
Google Ads,1023,219,109,33
Google Ads,2893,911,611,261
Email,3617,763,482,136
Organic,3093,1506,722,212
Organic,2468,1105,655,257
Google Ads,2253,991,573,148
Google Ads,2796,1087,565,265
Organic,2761,731,372,132
Organic,2786,990,498,166
Email,4702,1782,1042,382
Email,3378,1207,642,160
Organic,4643,1291,838,321
Email,4144,1469,882,272
Email,4932,1713,721,338
Facebook,2555,1274,754,188
Email,1776,833,400,140
Google Ads,3266,1107,639,242
Email,802,310,187,39
Email,1138,482,226,69
Organic,555,116,62,26
Google Ads,1025,480,219,97
Email,4623,2117,880,258
Email,2625,885,454,199
Facebook,3787,1201,611,299
Email,864,243,169,77
Email,2146,736,392,92
Facebook,1418,302,151,63
Organic,3297,1502,862,255
Email,2031,427,182,90
Facebook,3845,1148,790,273
Google Ads,2406,1153,680,160
Organic,3586,1508,944,394
Google Ads,2575,732,330,97
Google Ads,1213,334,174,86
Facebook,1562,314,165,81
Email,2476,1011,653,259
Facebook,1796,385,154,36
Facebook,625,224,109,44
Facebook,4096,2001,1389,316
Facebook,3783,880,477,99
Organic,2103,984,506,226
Email,566,281,122,32
Google Ads,732,159,110,34
Google Ads,2656,1234,501,246
Email,1669,592,367,110
Google Ads,2658,1254,790,228
Email,4706,1747,826,392
Google Ads,1993,794,477,111
Facebook,4507,1636,700,299
Google Ads,2972,1365,651,323
Email,3160,1327,844,397
Email,3239,1154,760,300
Email,2261,1041,606,178
Email,4014,1098,606,167
Email,2475,611,273,121
Organic,2862,710,297,137
Organic,1376,413,179,64
Google Ads,4312,1171,548,149
Email,3948,1891,950,222
Google Ads,1812,419,215,48
Email,1960,803,404,167
Email,3209,823,388,126
Organic,2824,1311,724,341
Organic,2233,1090,705,297
Facebook,2105,714,345,88
Organic,3063,1420,969,372
Facebook,3921,790,522,172
Facebook,4017,1791,803,299
Facebook,2897,778,494,208
Facebook,4235,2001,1145,505
Facebook,3370,675,384,173
Google Ads,1660,608,314,86
Organic,742,316,173,36
Facebook,3090,857,444,187
Email,1563,403,226,52
Organic,4824,1086,638,187
Organic,3095,922,555,111
Facebook,1419,522,292,118
Google Ads,505,118,72,18
Facebook,967,302,133,52
Google Ads,4670,946,438,217
Email,503,224,144,31
Organic,1145,273,135,30
Email,617,175,71,21
Google Ads,3428,704,314,144
Google Ads,3051,1005,469,124
Email,4789,2164,1487,458
Google Ads,1346,427,244,53
Email,3262,828,562,241
Organic,1641,699,400,128
Email,2310,1008,548,234
Organic,1223,308,152,71
Email,724,312,181,48
Google Ads,4708,2279,1006,444
Email,2548,636,425,92
Google Ads,4915,2119,1374,645
Email,2073,855,423,167
Email,2328,796,545,251
Facebook,2417,525,339,67
Google Ads,4734,1052,631,158
Facebook,2526,1151,502,159
Google Ads,4244,2109,1146,359
Facebook,1401,564,311,83
Organic,2539,847,397,124
Email,509,200,84,20
Google Ads,760,287,181,58
Google Ads,2173,684,298,131
Email,2719,597,345,118
Google Ads,2560,1142,777,159
Google Ads,4213,1312,869,283
Facebook,2119,944,456,94
Google Ads,820,226,148,72
Organic,1842,368,147,35
Organic,2876,712,288,118
Email,3332,1134,658,323
Google Ads,3324,1606,818,366
Email,2494,575,296,121
